CD_REGIAO,NM_REGIAO,CD_UF,NM_UF,CD_MUN,NM_MUN,CD_DIST,NM_DIST,POP_2022,AREA_KM2_CALCULADA,LAT,LON
1,Norte,13,Amazonas,1300805,Borba,130080505,Borba,24355,16078.581518746167,-4.593331942535505,-60.361756671800585
1,Norte,13,Amazonas,1300805,Borba,130080520,Canumã,7071,27747.067537867453,-5.3328544400175435,-59.25299357501452
1,Norte,13,Amazonas,1300805,Borba,130080525,Axinin,1654,619.4822840731889,-4.051213959540784,-59.45626421389841
1,Norte,13,Amazonas,1300839,Caapiranga,130083905,Caapiranga,13469,9545.441525441445,-3.050938704935297,-61.93836941468215
1,Norte,13,Amazonas,1300904,Canutama,130090405,Canutama,9614,7221.510449366135,-6.694399923624711,-64.55593707925442
1,Norte,13,Amazonas,1300904,Canutama,130090410,Belo Monte,1723,14450.65967870914,-6.717948074192649,-63.83502653359002
1,Norte,13,Amazonas,1300904,Canutama,130090415,Açuanópolis,5532,12485.833634930506,-8.235355223477045,-64.0771671926827
1,Norte,13,Amazonas,1301001,Carauari,130100105,Carauari,28742,26477.166548896377,-5.171531689560528,-67.49927556704327
1,Norte,13,Amazonas,1301100,Careiro,130110005,Careiro,18684,4629.756099345176,-3.7998758710895006,-60.17503527690134
1,Norte,13,Amazonas,1301100,Careiro,130110010,Purupuru,6525,945.8443062904038,-3.4846216016930214,-59.88694475309145
1,Norte,13,Amazonas,1301100,Careiro,130110015,Janauacá,5583,556.255923068723,-3.501202302400787,-60.193921591555444
1,Norte,13,Amazonas,1301159,Careiro da Várzea,130115905,Careiro da Várzea,19637,2640.0742642484865,-3.305580839956076,-59.556077935822344
1,Norte,13,Amazonas,1301209,Coari,130120905,Coari,70616,58881.52294586562,-4.049358967162224,-63.51485692339067
1,Norte,13,Amazonas,1301308,Codajás,130130805,Codajás,21684,4399.648923612587,-3.7103267494227037,-62.05989047846527
1,Norte,13,Amazonas,1301308,Codajás,130130810,Badajós,1865,14532.692402907605,-3.007221327864539,-63.33920516281741
1,Norte,13,Amazonas,1301407,Eirunepé,130140705,Eirunepé,33170,15561.138614840354,-7.048332606837941,-70.12567757114013
1,Norte,13,Amazonas,1301506,Envira,130150605,Envira,17186,7797.2382130211345,-7.603150105749349,-70.11258773286916
1,Norte,13,Amazonas,1301605,Fonte Boa,130160505,Fonte Boa,25871,12440.482173677441,-2.5407454042466955,-66.91633106028561
1,Norte,13,Amazonas,1301654,Guajará,130165405,Guajará,13815,7989.813640204812,-7.236870178310245,-72.80650509245744
1,Norte,13,Amazonas,1301704,Humaitá,130170405,Humaitá,53126,31167.46755160028,-7.501564586324934,-62.5028847250364
1,Norte,13,Amazonas,1301704,Humaitá,130170410,Realidade,4347,2304.10164435969,-7.011233764353087,-63.07016515358891
1,Norte,13,Amazonas,1301803,Ipixuna,130180305,Ipixuna,24311,12664.083055414452,-7.130321645759867,-71.41937280356763
1,Norte,13,Amazonas,1301852,Iranduba,130185205,Iranduba,36769,1841.5222683715137,-3.249843752635443,-60.10961164356938
1,Norte,13,Amazonas,1301852,Iranduba,130185210,Ariaú,2719,84.35416529690956,-3.1158047508795845,-60.34798525469398
1,Norte,13,Amazonas,1301852,Iranduba,130185215,Cacau Pirêra,16506,127.96844059004398,-3.18056298459254,-60.096339091320246
1,Norte,13,Amazonas,1301852,Iranduba,130185220,Lago do Limão,2475,84.46279499041594,-3.1762468577411482,-60.29785564117262
1,Norte,13,Amazonas,1301852,Iranduba,130185225,Paricatuba,2694,92.77382540588799,-3.129010468997019,-60.2356172688035
1,Norte,13,Amazonas,1301902,Itacoatiara,130190205,Itacoatiara,81599,5929.720005512858,-3.1366696057391317,-58.59397830882972
1,Norte,13,Amazonas,1301902,Itacoatiara,130190210,Amatari,21999,2993.413084026611,-3.0717595843002523,-59.14653563127717
1,Norte,13,Amazonas,1301951,Itamarati,130195105,Itamarati,10937,26023.138165073262,-6.718106425461472,-67.96806249253731
1,Norte,13,Amazonas,1302009,Itapiranga,130200905,Itapiranga,10162,4349.267053535038,-2.544464413612056,-58.65380738180813
1,Norte,13,Amazonas,1302108,Japurá,130210805,Japurá,7828,26346.388019219172,-2.133170757998319,-67.45520770994865
1,Norte,13,Amazonas,1302108,Japurá,130210810,Vila Bitencourt,1030,31242.265130006293,-1.2082062448412514,-68.79167806934367
1,Norte,13,Amazonas,1302207,Juruá,130220705,Juruá,10742,19889.01072211227,-3.3705761176555558,-66.45177585483465
1,Norte,13,Amazonas,1302306,Jutaí,130230605,Jutaí,25172,71661.8237464594,-4.533003782815235,-68.301733384995
1,Norte,13,Amazonas,1302405,Lábrea,130240505,Lábrea,45448,69697.16809066414,-8.42133228429403,-65.722553410134
1,Norte,13,Amazonas,1302504,Manacapuru,130250405,Manacapuru,101883,7390.932304137165,-3.2804336693408045,-60.71416180606938
1,Norte,13,Amazonas,1302553,Manaquiri,130255305,Manaquiri,17107,4000.4860045701525,-3.742743449184608,-60.663947868368055
1,Norte,13,Amazonas,1302603,Manaus,130260305,Manaus,2063689,11469.512996447183,-2.5734333477807096,-60.370696696765755
1,Norte,13,Amazonas,1302702,Manicoré,130270205,Manicoré,44838,43385.54242987742,-6.174151901810377,-61.166990025200164
1,Norte,13,Amazonas,1302702,Manicoré,130270210,Santo Antônio do Matupi,9076,5336.953594668899,-8.187253605373783,-61.186317917758295
1,Norte,13,Amazonas,1302801,Maraã,130280105,Maraã,15529,17145.418467428564,-2.6113867441489207,-64.70287603233999
1,Norte,13,Amazonas,1302900,Maués,130290005,Maués,42769,2936.534433799413,-3.448485630523999,-57.71773896965745
1,Norte,13,Amazonas,1302900,Maués,130290010,Osório da Fonseca,9124,20283.412300577304,-5.327534244302271,-58.526870468638386
1,Norte,13,Amazonas,1302900,Maués,130290015,Repartimento,9311,16872.280456117744,-5.12238326209965,-57.96214608152863
1,Norte,13,Amazonas,1303007,Nhamundá,130300705,Nhamundá,20136,14137.470527819445,-1.0798229047945869,-58.444984389268406
1,Norte,13,Amazonas,1303106,Nova Olinda do Norte,130310605,Nova Olinda do Norte,27062,5596.19237616646,-4.027668624941472,-58.586663459545555
